N,Throughput,AvgLatency,ResponseTime,Failures,Successes,CPU
10,2.40114,0.027177,0.034085,0,432,8.684
30,7.497721,0.031421,0.041124,0,1350,20.993
50,12.242301,0.040272,0.05067,0,2204,35.175
70,16.887254,0.058586,0.070763,0,3040,60.039
90,22.123014,0.080458,0.102851,0,3982,67.794
110,24.396042,0.153501,0.184615,0,4391,75.067
130,28.87767,0.330594,0.406753,0,5198,89.409
150,27.926176,0.692782,0.853423,0,5027,97.364
170,31.249969,1.154159,1.426581,0,5625,98.865
190,31.149977,1.730276,2.237572,8,5607,99.68
210,31.249969,1.689168,2.291573,34,5625,97.896
230,30.010666,2.484659,3.026292,67,5402,95.034
250,31.249969,2.856178,3.481715,79,5625,96.87
270,29.477584,3.616503,4.560842,124,5306,96.328
290,31.236742,4.619432,5.665776,195,5623,93.958
