Linux 6.14.0-37-generic (sameer-HP-Pavilion-Laptop-15-eg2xxx) 	02/03/2026 	_x86_64_	(16 CPU)

08:10:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:10:40 PM  all    5.00    4.00    8.00    3.00    0.00    0.00    0.00    0.00    0.00   80.00
08:10:41 PM  all    2.02    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   92.93
08:10:42 PM  all    2.04    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   93.88
08:10:43 PM  all    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:10:44 PM  all    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:10:45 PM  all    2.04    0.00    5.10    2.04    0.00    0.00    0.00    0.00    0.00   90.82
08:10:46 PM  all    1.01    1.01    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:10:47 PM  all    1.01    0.00    6.06    2.02    0.00    0.00    0.00    0.00    0.00   90.91
08:10:48 PM  all    1.02    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   93.88
08:10:49 PM  all    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93
08:10:50 PM  all   23.47    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   71.43
08:10:51 PM  all   89.11    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    6.93
08:10:52 PM  all   91.92    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    6.06
08:10:53 PM  all   93.07    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00    3.96
08:10:54 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:10:55 PM  all   95.05    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:10:56 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:10:57 PM  all   95.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:10:58 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:10:59 PM  all   95.96    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    2.02
08:11:00 PM  all   88.12    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    7.92
08:11:01 PM  all   86.87    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   11.11
08:11:02 PM  all   94.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    3.00
08:11:03 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:11:04 PM  all   97.03    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:11:05 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:06 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:11:07 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:11:08 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:11:09 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:11:10 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:11:11 PM  all   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00
