Linux 6.14.0-37-generic (sameer-HP-Pavilion-Laptop-15-eg2xxx) 	02/03/2026 	_x86_64_	(16 CPU)

06:49:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:49:04 PM  all    7.00    1.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
06:49:05 PM  all    1.03    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   92.78
06:49:06 PM  all   12.12    0.00    4.04    1.01    0.00    0.00    0.00    0.00    0.00   82.83
06:49:07 PM  all   27.27    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   66.67
06:49:08 PM  all   41.41    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   53.54
06:49:09 PM  all   36.36    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   58.59
06:49:10 PM  all    4.04    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   91.92
06:49:11 PM  all   24.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   72.00
06:49:12 PM  all   28.57    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   66.33
06:49:13 PM  all   29.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   66.00
06:49:14 PM  all   30.30    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   65.66
06:49:15 PM  all   19.39    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   77.55
06:49:16 PM  all   23.23    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   73.74
06:49:17 PM  all   35.64    0.00    4.95    0.00    0.00    1.98    0.00    0.00    0.00   57.43
06:49:18 PM  all   19.59    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   76.29
06:49:19 PM  all   20.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   75.00
06:49:20 PM  all   26.26    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   69.70
06:49:21 PM  all   27.27    0.00    4.04    2.02    0.00    1.01    0.00    0.00    0.00   65.66
06:49:22 PM  all   28.57    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   67.35
06:49:23 PM  all   17.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   79.00
06:49:24 PM  all   16.16    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   80.81
06:49:25 PM  all   30.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   66.00
06:49:26 PM  all   25.25    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   72.73
06:49:27 PM  all   20.20    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   75.76
06:49:28 PM  all   29.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   65.00
06:49:29 PM  all    8.16    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   87.76
06:49:30 PM  all   27.27    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   68.69
06:49:31 PM  all   32.00    0.00    3.00    1.00    0.00    1.00    0.00    0.00    0.00   63.00
06:49:32 PM  all   21.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
06:49:33 PM  all   29.59    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   66.33
06:49:34 PM  all   32.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   63.00
06:49:35 PM  all   39.18    0.00    3.09    2.06    0.00    0.00    0.00    0.00    0.00   55.67
06:49:36 PM  all   28.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   67.00
06:49:37 PM  all   20.20    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   76.77
06:49:38 PM  all   21.21    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   75.76
06:49:39 PM  all   31.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   65.00
06:49:40 PM  all   27.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   69.00
06:49:41 PM  all   23.47    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   72.45
