Users,ResponseTime_mean,ResponseTime_ci_lo,ResponseTime_ci_hi,ResponseTime_n,Throughput_mean,Throughput_ci_lo,Throughput_ci_hi,Throughput_n,Goodput_mean,Goodput_ci_lo,Goodput_ci_hi,Goodput_n,Badput_mean,Badput_ci_lo,Badput_ci_hi,Badput_n,Timeouts_mean,Timeouts_ci_lo,Timeouts_ci_hi,Timeouts_n,Util_mean,Util_ci_lo,Util_ci_hi,Util_n
10,0.0600653,0.0591606,0.0609701,15,3.0725,3.06704,3.07796,15,3.0725,3.06704,3.07796,15,0,0,0,15,0,0,0,15,0.0452727,0.0446261,0.0459192,15
20,0.061912,0.0610815,0.0627425,15,6.13125,6.12233,6.14017,15,6.13125,6.12233,6.14017,15,0,0,0,15,0,0,0,15,0.0916567,0.0904454,0.0928679,15
30,0.0648787,0.0641408,0.0656166,15,9.19708,9.18798,9.20619,15,9.19708,9.18798,9.20619,15,0,0,0,15,0,0,0,15,0.137905,0.136549,0.139262,15
40,0.06866,0.0678074,0.0695126,15,12.2425,12.2333,12.2517,15,12.2425,12.2333,12.2517,15,0,0,0,15,0,0,0,15,0.183853,0.18229,0.185415,15
50,0.0729233,0.072065,0.0737817,15,15.2862,15.2753,15.2972,15,15.2862,15.2753,15.2972,15,0,0,0,15,0,0,0,15,0.229859,0.228058,0.231661,15
60,0.0779973,0.0767932,0.0792014,15,18.3062,18.2946,18.3179,15,18.3062,18.2946,18.3179,15,0,0,0,15,0,0,0,15,0.276435,0.274523,0.278347,15
70,0.0836633,0.0822087,0.085118,15,21.3371,21.3211,21.353,15,21.3371,21.3211,21.353,15,0,0,0,15,0,0,0,15,0.321752,0.318538,0.324966,15
80,0.0906407,0.0890877,0.0921936,15,24.3238,24.3085,24.339,15,24.3238,24.3085,24.339,15,0,0,0,15,0,0,0,15,0.366287,0.363214,0.369359,15
90,0.0983627,0.0966054,0.10012,15,27.3021,27.2858,27.3183,15,27.3021,27.2858,27.3183,15,0,0,0,15,0,0,0,15,0.412273,0.409001,0.415545,15
100,0.107745,0.106133,0.109358,15,30.2575,30.2381,30.2769,15,30.2575,30.2381,30.2769,15,0,0,0,15,0,0,0,15,0.453885,0.451077,0.456692,15
110,0.115152,0.113171,0.117133,15,33.1833,33.1585,33.2082,15,33.1833,33.1585,33.2082,15,0,0,0,15,0,0,0,15,0.497031,0.493945,0.500117,15
