event,time,req_id,user_id,val1,val2
ARRIVAL,3033.687,1,1344,7.955,28554.808
ARRIVAL,3038.806,2,794,37.897,21269.379
COMPLETE,3041.642,1,1344,7.955
ARRIVAL,3041.646,3,1513,45.241,26724.298
ARRIVAL,3042.877,4,560,5.629,24212.304
COMPLETE,3048.506,4,560,5.629
ARRIVAL,3054.754,5,1023,18.759,26018.255
ARRIVAL,3059.300,6,2848,22.875,23918.200
ARRIVAL,3063.796,7,1908,78.028,28624.936
ARRIVAL,3067.299,8,837,83.065,22397.117
ARRIVAL,3071.358,9,258,98.517,22728.290
ARRIVAL,3071.991,10,2492,9.386,28521.086
ARRIVAL,3071.991,11,1193,227.503,22985.896
ARRIVAL,3072.425,12,2849,33.753,26005.104
COMPLETE,3073.713,5,1023,18.959
ARRIVAL,3078.988,13,2346,4.647,26024.360
COMPLETE,3087.502,2,794,48.697
COMPLETE,3088.560,13,2346,9.572
ARRIVAL,3089.478,14,1756,32.699,23679.871
ARRIVAL,3093.189,15,2936,177.074,24970.871
COMPLETE,3096.889,10,2492,24.898
ARRIVAL,3105.836,16,446,66.886,23148.629
ARRIVAL,3108.005,17,2930,69.255,23802.949
ARRIVAL,3114.893,18,716,91.024,21390.559
ARRIVAL,3116.771,19,392,35.177,25880.236
ARRIVAL,3119.108,20,78,96.826,20941.763
COMPLETE,3120.164,6,2848,60.864
ARRIVAL,3120.438,21,253,0.128,27570.260
ARRIVAL,3122.765,22,1767,27.632,25315.859
ARRIVAL,3124.660,23,2971,68.021,29683.536
ARRIVAL,3127.179,24,1841,29.440,22351.581
ARRIVAL,3137.006,25,2298,7.014,29394.039
ARRIVAL,3137.474,26,2801,115.137,21478.533
COMPLETE,3138.687,3,1513,97.041
COMPLETE,3139.688,21,253,19.250
ARRIVAL,3145.377,27,1665,16.492,22864.380
ARRIVAL,3146.230,28,2537,12.896,28866.214
ARRIVAL,3148.160,29,1505,61.668,20345.319
ARRIVAL,3152.429,30,1601,4.459,20386.664
ARRIVAL,3156.643,31,2799,16.979,29871.165
COMPLETE,3156.902,25,2298,19.896
ARRIVAL,3161.205,32,623,6.227,22808.912
ARRIVAL,3162.962,33,2617,0.525,20916.303
ARRIVAL,3165.714,34,1379,70.330,21703.727
ARRIVAL,3166.887,35,2184,10.783,23853.207
ARRIVAL,3167.603,36,2054,4.825,20014.867
ARRIVAL,3168.742,37,1861,300.197,21814.770
ARRIVAL,3169.742,38,2395,1.335,25751.261
ARRIVAL,3170.604,39,2906,8.127,26365.508
ARRIVAL,3174.597,40,482,106.378,27983.355
ARRIVAL,3175.157,41,1805,165.287,29898.678
ARRIVAL,3176.175,42,2613,76.380,26794.239
ARRIVAL,3176.748,43,1723,22.002,27019.824
ARRIVAL,3178.269,44,1534,53.807,21253.605
COMPLETE,3183.252,12,2849,110.827
ARRIVAL,3183.936,45,2367,0.941,25892.891
ARRIVAL,3184.602,46,1090,42.000,24158.251
ARRIVAL,3186.418,47,2209,19.359,22262.319
COMPLETE,3188.027,33,2617,25.066
ARRIVAL,3191.036,48,1537,113.195,28852.038
ARRIVAL,3192.273,49,2565,61.662,20864.492
ARRIVAL,3194.268,50,2835,29.757,24846.233
COMPLETE,3196.024,30,1601,43.595
ARRIVAL,3198.825,51,818,33.735,23786.883
